Dat,AgtId
23/01/2003,436
23/01/1998,437
23/03/2000,438
15/11/1994,439
20/07/2002,440
20/12/2001,442
06/03/1997,443
22/04/1999,444
26/09/1992,445
21/02/1999,446
04/06/1996,447
16/08/1991,449
15/08/2005,450
18/11/2002,451
20/05/1996,452
15/10/2002,453
08/05/1997,454
06/03/2003,455
27/04/1991,456
09/06/1999,457
04/02/2003,461
14/09/1991,462
05/03/1998,464
31/12/1991,465
25/09/1991,467
18/10/1994,468
12/07/1992,469
19/01/2002,470
08/11/1998,471
16/09/1993,472
26/01/2003,473
16/01/1992,474
04/08/1993,475
30/11/1996,476
30/07/2002,477
07/07/1999,478
02/09/1996,479
12/05/1997,481
24/04/1992,482
26/01/1994,484
10/04/1996,485
26/04/1995,486
18/01/1997,488
06/04/2005,489
06/08/1990,490
11/05/1994,492
18/10/1991,493
13/11/1991,494
12/03/1992,495
26/05/2004,496
11/04/2005,497
26/05/2004,498
29/04/1998,499
17/01/1997,500
05/10/1999,501
18/08/1992,503
30/10/1992,504
09/06/1993,505
03/08/1993,506
03/08/1993,507
21/06/1995,509
20/06/1995,510
10/06/1996,511
28/05/1996,512
10/06/1996,513
08/03/1997,514
18/05/1997,515
13/01/1997,516
11/12/1996,517
17/08/1995,518
27/05/1997,519
16/09/1996,521
23/11/1997,522
11/09/1995,523
04/04/1994,524
18/12/1997,525
16/10/1998,527
09/05/2001,528
18/05/1999,529
18/05/1999,530
26/04/1996,531
23/11/1996,532
25/08/1996,533
26/02/1995,535
21/10/2005,536
11/08/2006,537
03/04/1991,538
02/09/1999,539
29/09/2002,540
15/06/2000,541
01/05/1996,542
16/04/1993,545
14/08/1997,546
18/03/1992,547
18/03/2002,548
21/02/1997,549
21/04/1997,550
17/08/1996,551
05/02/1993,552
19/07/1999,553
31/08/1999,554
18/05/1997,555
10/04/1998,556
30/04/1998,557
18/05/1997,558
14/06/1994,559
18/07/1997,560
10/10/1997,561
12/11/1995,563
30/10/1991,564
02/11/2003,565
08/01/1993,567
16/11/2003,568
01/09/1992,569
23/01/1991,570
30/06/1999,571
15/12/1999,572
31/12/2004,573
31/12/2004,574
31/12/2004,575
31/12/2004,576
21/02/1999,577
30/05/1990,578
12/02/2002,579
05/06/2004,581
08/10/2003,582
26/05/2004,583
02/11/2003,584
01/11/1994,585
03/05/2001,586
04/09/1999,587
27/08/1994,588
23/03/1990,589
29/01/2004,590
26/07/1994,591
23/10/1998,592
19/05/1994,593
26/10/1994,594
28/02/1994,596
25/01/1997,598
26/06/1998,599
25/09/1991,601
21/06/1999,602
21/07/1994,603
11/06/1999,604
02/05/1993,606
18/05/1995,607
01/03/1994,608
16/03/2001,609
23/09/1991,611
14/12/2003,615
20/12/2003,618
26/08/2000,619
23/04/1999,620
17/02/2001,621
19/04/2002,623
12/05/2001,624
26/10/1998,625
26/10/1998,626
01/05/1999,627
23/08/1993,631
21/12/1990,633
28/11/1990,634
24/10/1990,635
11/04/1992,637
03/09/1994,639
13/10/1995,640
30/12/2004,642
08/04/2004,647
24/12/2002,649
10/02/2003,652
11/03/1998,654
24/10/1998,655
10/02/1999,656
17/02/1999,657
06/10/1999,658
12/01/2000,659
27/10/2009,660
08/09/2004,661
20/04/2005,662
16/09/2005,663
27/08/2007,664
09/12/2009,665
09/12/2009,666
19/02/2008,667
15/12/2006,668
21/06/2008,669
09/05/2008,670
23/01/2008,671
23/01/2008,672
28/11/2007,673
28/11/2007,674
09/11/2007,675
02/02/2007,676
01/06/2009,678
08/06/2004,682
01/03/2008,684
29/02/2008,685
25/11/2008,686
23/05/2008,688
18/03/2008,689
04/03/2008,690
04/03/2008,691
29/02/2008,692
28/02/2008,693
23/02/2008,694
22/02/2008,695
04/02/2008,696
11/08/2007,697
09/01/2008,698
06/08/2007,699
19/06/2007,700
01/11/2006,701
18/06/2006,702
01/06/1990,704
12/06/2008,705
31/03/2009,706
28/01/2010,707
06/06/2010,708
22/07/2010,709
26/05/2008,711
04/12/2008,712
08/04/2009,713
13/03/2008,714
03/05/2009,715
15/01/2010,716
17/01/2012,717
22/12/2008,720
06/06/2010,721
23/03/2009,722
07/11/2010,723
12/08/2008,724
09/09/2008,725
14/02/2008,726
03/08/2011,728
21/05/2008,729
09/03/2011,730
09/11/2010,732
01/11/2011,733
21/05/2008,734
16/02/2009,735
15/09/2009,737
05/05/2010,738
21/09/2008,740
26/10/2008,741
26/10/2008,742
21/06/2009,743
23/08/2009,744
06/09/2011,745
09/06/2011,746
15/03/2010,747
17/02/2009,748
14/07/2011,749
20/06/2011,750
22/07/2010,751
22/06/2010,752
18/03/2010,753
18/03/2010,754
23/02/2010,755
14/04/2012,756
30/01/2008,757
23/11/2011,758
08/10/2011,759
01/04/2007,760
25/10/2007,761
25/07/2009,762
15/01/2010,763
05/02/2010,764
13/09/2011,768
26/12/2011,769
29/12/2011,770
06/01/2012,771
28/01/2012,773
01/02/2012,774
07/02/2012,775
05/04/2012,776
19/04/2012,777
21/04/2012,778
22/06/2012,779
22/06/2012,780
22/06/2012,781
22/06/2012,782
22/06/2012,783
30/06/2012,784
19/08/2012,785
26/08/2012,786
21/11/2012,787
16/01/2013,788
24/02/2013,789
28/02/2013,790
27/08/2013,791
23/10/2013,792
12/12/2013,793
22/06/2014,795
30/07/2014,797
